date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:14	226/226	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:00%20GMT	https://www.nitt.edu/home/students/events	D:/nit/nit/www.nitt.edu/home/students/events	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:14	232/232	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:00%20GMT	https://www.nitt.edu/home/students/clubsnassocs	D:/nit/nit/www.nitt.edu/home/students/clubsnassocs	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:15	239/239	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:00%20GMT	https://www.nitt.edu/home/students/facilitiesnservices	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:15	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:01%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs415/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs415/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:15	260/260	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:01%20GMT	https://www.nitt.edu/home/students/facilitiesnservices/ComputerSupportGroup	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/ComputerSupportGroup	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:15	242/242	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:01%20GMT	https://www.nitt.edu/home/students/facilitiesnservices/tp	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/tp	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:15	247/247	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:01%20GMT	https://www.nitt.edu/home/students/facilitiesnservices/library	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/library	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:16	243/243	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:01%20GMT	https://www.nitt.edu/home/students/facilitiesnservices/lhc	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:16	269/269	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:01%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem8/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem8/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:16	226/226	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:01%20GMT	https://www.nitt.edu/home/students/office	D:/nit/nit/www.nitt.edu/home/students/office	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
